hostname,owner,zone,role,primary_ip,published_endpoint,last_seen
intranet-admin-02,platform-ops,ops-admin,admin-console,10.44.18.12,http://intranet-admin-02.internal:18081/,2026-04-27T22:14:00Z
finance-share-01,finance-ops,corp-data,finance-export,10.44.22.31,http://finance-share.internal.local:18082/,2026-04-27T22:11:00Z
git-service-01,developer-platform,build,source-repository,10.44.27.18,git://git.internal.local:19418/infra-deploy.git,2026-04-27T22:08:00Z
ops-db-01,platform-data,corp-data,operations-database,10.44.25.16,db01.internal.local:13306,2026-04-27T22:07:00Z
redis-cache-01,platform-data,corp-data,session-cache,10.44.25.17,redis-cache.internal.local:16379,2026-04-27T22:06:00Z
archive-ftpd-01,finance-ops,corp-data,archive-transfer,10.44.22.32,ftp://archive-ftpd.internal.local:12121/,2026-04-27T22:05:00Z
ssh-gw-02,platform-ops,ops-admin,support-ssh,10.44.18.15,ssh-gw-02.internal:12222,2026-04-27T22:04:00Z
vpn-ra-01,network-ops,remote-access,vpn-appliance,10.44.9.20,https://vpn-ra-01.internal:18443/,2026-04-27T22:03:00Z
mail-relay-01,platform-ops,messaging,smtp-relay,10.44.16.20,mail-relay.internal.local:2525,2026-04-27T22:02:00Z
artifact-staging-01,endpoint-response,build,package-staging,10.44.27.21,http://artifact-staging-01.internal:18085/,2026-04-27T22:01:00Z
